STT,Tên CH,Demand,Time start,Time end,Vĩ độ (Latitude),Kinh độ (Longitude)
1,MC-8 Thạch Lam,"111,640",10:00,10:30,10.776312,106.633415
2,BB-97 Tân Quý,"124,173",10:20,10:50,10.796304,106.620237
3,BB-252 Tân Hương,"88,175",10:20,10:50,10.790246,106.621155
4,MC-38 Trịnh Đình Trọng,"122,640",10:40,11:10,10.77547,106.646957
5,BB-8 Thạch Lam,"95,315",10:00,10:30,10.799971,106.616229
6,MC-111 Lê Trọng Tấn,"74,620",11:40,12:10,10.805951,106.629822
7,MC-182 Tân Sơn Nhì,"59,028",10:00,10:30,10.799474,106.63217
8,MC-5A Thích Quảng Đức,"111,690",12:20,12:50,10.80429,106.683593
9,MC-128 Phổ Quang,"54,928",11:40,12:10,10.808396,106.671739
10,BB-388A Cách Mạng Tháng Tám,"137,700",11:20,11:50,10.783068,106.672064
11,BB-279 Nguyễn Thái Sơn,"301,328",12:40,13:10,10.827741,106.690673
12,BB-112 Nguyễn Văn Nghi,"55,083",14:00,14:30,10.824348,106.68618
13,MC-122 Lê Văn Thọ,"52,230",14:20,14:50,10.840573,106.657414
14,MC-390 Phan Huy Ích,"61,300",14:40,15:10,10.841722,106.639098
15,MC-41 Nguyễn Văn Nghi,"97,775",13:00,13:30,10.824446,106.686591
16,BB-351 Tỉnh Lộ 10,"151,850",10:30,11:00,10.756537,106.622851
17,BB-847 Tỉnh Lộ 10,"123,780",10:50,11:20,10.758267,106.607097
18,BB-31 Đồng Đen,"205,240",10:50,11:20,10.794978,106.6453
19,BB-6 Hoàng Hoa Thám,"135,085",10:30,11:00,10.803961,106.692181
20,MC-161 Đường Số 1,"81,550",11:50,12:20,10.748347,106.617113